"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",11,50.000000,2.002472,0.014066,"ops/ms",spinning,random,32,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",11,50.000000,2.861724,0.011951,"ops/ms",spinning,random,64,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",11,50.000000,3.800585,0.012833,"ops/ms",spinning,random,256,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",11,50.000000,3.805023,0.005304,"ops/ms",spinning,third,32,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",11,50.000000,4.109414,0.007365,"ops/ms",spinning,third,64,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",11,50.000000,4.187930,0.006147,"ops/ms",spinning,third,256,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",11,50.000000,1.872242,0.014857,"ops/ms",spinning,second,32,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",11,50.000000,2.728936,0.015100,"ops/ms",spinning,second,64,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",11,50.000000,3.700966,0.014031,"ops/ms",spinning,second,256,7,static,100000
