"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,0.185269,0.005794,"ops/ms",pipeliningSequentialFraming,random,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,0.288929,0.005618,"ops/ms",pipeliningSequentialFraming,random,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,0.438522,0.005704,"ops/ms",pipeliningSequentialFraming,random,256,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,0.504103,0.002931,"ops/ms",pipeliningSequentialFraming,third,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,0.518637,0.001080,"ops/ms",pipeliningSequentialFraming,third,256,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,0.185923,0.028924,"ops/ms",pipeliningSequentialFraming,second,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,0.307158,0.013344,"ops/ms",pipeliningSequentialFraming,second,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,0.463223,0.007811,"ops/ms",pipeliningSequentialFraming,second,256,7,static,1000000
