"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,9.488971,0.077020,"ops/ms",pipeliningSequentialFraming,random,32,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,10.939760,0.071463,"ops/ms",pipeliningSequentialFraming,random,64,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,12.720529,0.078263,"ops/ms",pipeliningSequentialFraming,random,256,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,13.636251,0.072927,"ops/ms",pipeliningSequentialFraming,third,32,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,13.150594,0.123934,"ops/ms",pipeliningSequentialFraming,third,64,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,13.813294,0.042040,"ops/ms",pipeliningSequentialFraming,third,256,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,11.991368,0.108485,"ops/ms",pipeliningSequentialFraming,second,32,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,12.429607,0.102497,"ops/ms",pipeliningSequentialFraming,second,64,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,13.319683,0.047677,"ops/ms",pipeliningSequentialFraming,second,256,7,static,10000
