"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,0.413029,0.003246,"ops/ms",synchron,random,32,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,0.414553,0.001601,"ops/ms",synchron,random,64,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,0.413026,0.002149,"ops/ms",synchron,random,256,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,0.412923,0.003109,"ops/ms",synchron,third,32,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,0.412455,0.003078,"ops/ms",synchron,third,64,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,0.413354,0.002382,"ops/ms",synchron,third,256,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,0.413872,0.002361,"ops/ms",synchron,second,32,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,0.412708,0.003177,"ops/ms",synchron,second,64,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,0.413369,0.001879,"ops/ms",synchron,second,256,7,static,100000
