"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,16.928796,0.156929,"ops/ms",spinning,random,32,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,26.937402,0.169177,"ops/ms",spinning,random,64,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,40.486368,0.130863,"ops/ms",spinning,random,256,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,45.780781,0.093384,"ops/ms",spinning,third,64,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,46.754152,0.109408,"ops/ms",spinning,third,256,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,16.994119,0.092416,"ops/ms",spinning,second,32,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,26.333155,0.153884,"ops/ms",spinning,second,64,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,39.632480,0.151761,"ops/ms",spinning,second,256,7,static,10000
