"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",22,50.000000,0.158067,0.004448,"ops/ms",pipeliningParallelFraming,random,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",22,50.000000,0.280289,0.005727,"ops/ms",pipeliningParallelFraming,random,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",22,50.000000,0.433064,0.005748,"ops/ms",pipeliningParallelFraming,random,256,7,static,1000000
