"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",19,50.000000,2.036854,0.019718,"ops/ms",spinning,random,32,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",19,50.000000,3.509841,0.015193,"ops/ms",spinning,random,64,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",19,50.000000,5.307470,0.012710,"ops/ms",spinning,random,256,7,static,100000
