"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,8.933610,0.214668,"ops/ms",pipeliningSequentialFraming,random,32,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,13.009860,0.301143,"ops/ms",pipeliningSequentialFraming,random,64,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,17.506658,0.389504,"ops/ms",pipeliningSequentialFraming,random,256,7,static,10000
