"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: depth","Param: riname","Param: sources"
"benchmarks.grid.Bench.primGrid","thrpt",9,50.000000,3.351820,0.134641,"ops/ms",64,REScalaSpin,64
"benchmarks.grid.Bench.primGrid","thrpt",9,50.000000,3.422307,0.123386,"ops/ms",64,REScalaSTM,64
"benchmarks.grid.Bench.primGrid","thrpt",9,50.000000,5.255196,0.924465,"ops/ms",64,REScalaSync,64
