"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: spinningBackOff","Param: work"
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,151.447006,35.126846,"ops/ms",synchron,7,3000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,92.947033,45.071042,"ops/ms",synchron,7,3000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,58.499972,10.357097,"ops/ms",synchron,7,3000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,58.499972,10.357097,"ops/ms",synchron,7,3000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,58.500973,10.357097,"ops/ms",synchron,7,3000
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,55.330352,10.444301,"ops/ms",spinning,7,3000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,27.744950,5.259084,"ops/ms",spinning,7,3000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,27.585401,5.185513,"ops/ms",spinning,7,3000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,27.585401,5.185513,"ops/ms",spinning,7,3000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,27.586402,5.185513,"ops/ms",spinning,7,3000
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,117.419155,10.098899,"ops/ms",stm,7,3000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,99.345519,9.106729,"ops/ms",stm,7,3000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,18.073635,1.100391,"ops/ms",stm,7,3000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,18.073635,1.100391,"ops/ms",stm,7,3000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,52.202883,2.932974,"ops/ms",stm,7,3000
