"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: spinningBackOff","Param: work"
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,235.101102,22.915787,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,149.861883,38.366265,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,85.239219,18.991637,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,85.239219,18.991637,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,85.240220,18.991637,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,70.094159,10.493949,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,35.110481,5.285699,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,34.983678,5.208377,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,34.983678,5.208377,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,34.984679,5.208377,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,86.474807,7.460450,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,59.038551,6.433060,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,27.436256,1.755312,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,27.436256,1.755312,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,68.672766,4.337305,"ops/ms",stm,7,1000
