"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: riname"
"benchmarks.simple.Mapping.local","thrpt",15,50.000000,1977.481055,67.870221,"ops/ms",REScalaSpin
"benchmarks.simple.Mapping.shared","thrpt",15,50.000000,14.883308,1.930562,"ops/ms",REScalaSpin
