"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: riname"
"benchmarks.simple.Mapping.local","thrpt",9,50.000000,343.692910,1.840279,"ops/ms",scala.rx
"benchmarks.simple.Mapping.shared","thrpt",9,50.000000,559.145670,23.654535,"ops/ms",scala.rx
