"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: riname"
"benchmarks.simple.Mapping.local","thrpt",64,50.000000,2316.335891,54.412258,"ops/ms",REScalaSpinWait
"benchmarks.simple.Mapping.shared","thrpt",64,50.000000,34.775870,1.329841,"ops/ms",REScalaSpinWait
