"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: riname"
"benchmarks.simple.Mapping.local","thrpt",16,50.000000,340.339810,11.758213,"ops/ms",scala.rx
"benchmarks.simple.Mapping.shared","thrpt",16,50.000000,491.540999,22.712209,"ops/ms",scala.rx
