"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",9,50.000000,3.781367,0.015397,"ops/ms",synchron,third,32,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",9,50.000000,3.772080,0.021169,"ops/ms",synchron,third,64,7,static,10000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",9,50.000000,3.780359,0.016146,"ops/ms",synchron,third,256,7,static,10000
