"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,56.205426,2.116227,"ops/ms",synchron,second,32,7,static,0
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,55.129805,2.419470,"ops/ms",synchron,second,64,7,static,0
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,59.191537,3.694119,"ops/ms",synchron,second,256,7,static,0
