"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,30.363830,2.097393,"ops/ms",pipeliningParallelFraming,second,32,7,static,0
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,36.331675,3.121593,"ops/ms",pipeliningParallelFraming,second,64,7,static,0
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",14,50.000000,42.686035,3.398919,"ops/ms",pipeliningParallelFraming,second,256,7,static,0
