"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",8,50.000000,2.978137,0.009271,"ops/ms",spinning,third,32,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",8,50.000000,3.096641,0.007463,"ops/ms",spinning,third,64,7,static,100000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",8,50.000000,3.125652,0.009082,"ops/ms",spinning,third,256,7,static,100000
