"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,18.613317,0.894103,"ops/ms",pipeliningParallelFraming,random,32,7,static,0
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,28.356877,1.109308,"ops/ms",pipeliningParallelFraming,random,64,7,static,0
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",10,50.000000,42.008438,1.652775,"ops/ms",pipeliningParallelFraming,random,256,7,static,0
