"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: spinningBackOff","Param: work"
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,205.123484,17.613140,"ops/ms",synchron,7,500
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,77.462829,34.978390,"ops/ms",synchron,7,500
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,127.660655,19.784047,"ops/ms",synchron,7,500
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,127.660655,19.784047,"ops/ms",synchron,7,500
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,127.661656,19.784047,"ops/ms",synchron,7,500
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,78.369470,19.800203,"ops/ms",spinning,7,500
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,39.172791,9.881857,"ops/ms",spinning,7,500
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,39.196678,9.918385,"ops/ms",spinning,7,500
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,39.196678,9.918385,"ops/ms",spinning,7,500
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,39.197679,9.918385,"ops/ms",spinning,7,500
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,96.147829,6.878350,"ops/ms",stm,7,500
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,60.177512,4.783333,"ops/ms",stm,7,500
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,35.970317,2.561107,"ops/ms",stm,7,500
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,35.970317,2.561107,"ops/ms",stm,7,500
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,87.580096,6.927410,"ops/ms",stm,7,500
