"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",22,50.000000,0.158377,0.005857,"ops/ms",pipeliningSequentialFraming,random,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",22,50.000000,0.279849,0.007762,"ops/ms",pipeliningSequentialFraming,random,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",22,50.000000,0.432139,0.004900,"ops/ms",pipeliningSequentialFraming,random,256,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",22,50.000000,0.451003,0.005387,"ops/ms",pipeliningSequentialFraming,third,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",22,50.000000,0.478171,0.004689,"ops/ms",pipeliningSequentialFraming,third,256,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",22,50.000000,0.217112,0.027971,"ops/ms",pipeliningSequentialFraming,second,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",22,50.000000,0.461622,0.005016,"ops/ms",pipeliningSequentialFraming,second,256,7,static,1000000
