"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,0.148575,0.002574,"ops/ms",spinning,random,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,0.173499,0.002372,"ops/ms",spinning,random,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,0.194831,0.001025,"ops/ms",spinning,random,256,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,0.201305,0.000132,"ops/ms",spinning,third,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,0.200546,0.000419,"ops/ms",spinning,third,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,0.201199,0.000366,"ops/ms",spinning,third,256,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,0.137745,0.003033,"ops/ms",spinning,second,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,0.162896,0.002906,"ops/ms",spinning,second,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",5,50.000000,0.190361,0.001851,"ops/ms",spinning,second,256,7,static,1000000
