"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",3,50.000000,0.112135,0.001292,"ops/ms",pipeliningParallelFraming,random,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",3,50.000000,0.117152,0.000851,"ops/ms",pipeliningParallelFraming,random,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",3,50.000000,0.121130,0.000510,"ops/ms",pipeliningParallelFraming,random,256,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",3,50.000000,0.122016,0.000378,"ops/ms",pipeliningParallelFraming,third,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",3,50.000000,0.122282,0.000405,"ops/ms",pipeliningParallelFraming,third,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",3,50.000000,0.122066,0.000324,"ops/ms",pipeliningParallelFraming,third,256,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",3,50.000000,0.117716,0.000960,"ops/ms",pipeliningParallelFraming,second,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",3,50.000000,0.119732,0.000630,"ops/ms",pipeliningParallelFraming,second,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",3,50.000000,0.121624,0.000359,"ops/ms",pipeliningParallelFraming,second,256,7,static,1000000
