"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: layout","Param: philosophers","Param: spinningBackOff","Param: tableType","Param: work"
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",13,50.000000,0.051007,0.000047,"ops/ms",synchron,random,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",13,50.000000,0.050962,0.000046,"ops/ms",synchron,random,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",13,50.000000,0.050961,0.000051,"ops/ms",synchron,random,256,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",13,50.000000,0.050976,0.000051,"ops/ms",synchron,third,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",13,50.000000,0.050986,0.000058,"ops/ms",synchron,third,256,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",13,50.000000,0.051000,0.000049,"ops/ms",synchron,second,32,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",13,50.000000,0.050936,0.000086,"ops/ms",synchron,second,64,7,static,1000000
"benchmarks.philosophers.PhilosopherCompetition.eat","thrpt",13,50.000000,0.050974,0.000065,"ops/ms",synchron,second,256,7,static,1000000
