"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: riname"
"benchmarks.simple.Mapping.local","thrpt",15,50.000000,730.074909,30.470628,"ops/ms",REScalaSync
"benchmarks.simple.Mapping.shared","thrpt",15,50.000000,476.439926,34.403077,"ops/ms",REScalaSync
