"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: spinningBackOff","Param: work"
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,39.612476,10.339904,"ops/ms",synchron,7,10000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,5.168544,11.786055,"ops/ms",synchron,7,10000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,34.443933,1.459782,"ops/ms",synchron,7,10000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,34.443933,1.459782,"ops/ms",synchron,7,10000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,34.444934,1.459782,"ops/ms",synchron,7,10000
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,46.668698,4.645545,"ops/ms",spinning,7,10000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,23.408238,2.329521,"ops/ms",spinning,7,10000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,23.260460,2.316198,"ops/ms",spinning,7,10000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,23.260460,2.316198,"ops/ms",spinning,7,10000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,23.261461,2.316198,"ops/ms",spinning,7,10000
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,161.229422,12.658014,"ops/ms",stm,7,10000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,152.021353,12.447480,"ops/ms",stm,7,10000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,9.208069,0.279512,"ops/ms",stm,7,10000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,9.208069,0.279512,"ops/ms",stm,7,10000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,26.944711,0.552916,"ops/ms",stm,7,10000
