"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: spinningBackOff","Param: work"
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50,215.133782,20.179430,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50,124.607859,33.116159,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50,90.525923,18.991825,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50,90.525923,18.991825,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50,90.526924,18.991825,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50,79.585760,10.995095,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50,39.929147,5.557679,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50,39.656613,5.437593,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50,39.656613,5.437593,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50,39.657614,5.437593,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50,93.672189,7.868007,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50,63.196880,6.367904,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50,30.475309,1.701749,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50,30.475309,1.701749,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50,74.667408,4.217733,"ops/ms",stm,7,1000
