"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: spinningBackOff","Param: work"
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,181.809256,16.212342,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,83.365267,27.278036,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,98.443989,16.427175,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,98.443989,16.427175,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,98.444990,16.427175,"ops/ms",synchron,7,1000
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,67.567485,9.245935,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,33.846475,4.663867,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,33.721010,4.582274,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,33.721010,4.582274,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,33.722011,4.582274,"ops/ms",spinning,7,1000
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,81.149915,7.509249,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,53.866769,6.166039,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,27.283146,1.858599,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,27.283146,1.858599,"ops/ms",stm,7,1000
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,69.495787,4.771351,"ops/ms",stm,7,1000
