"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: spinningBackOff","Param: work"
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,258.421592,18.321259,"ops/ms",synchron,7,0
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,103.107213,44.324805,"ops/ms",synchron,7,0
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,155.314378,28.349869,"ops/ms",synchron,7,0
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,155.314378,28.349869,"ops/ms",synchron,7,0
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,155.315379,28.349869,"ops/ms",synchron,7,0
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,99.113595,29.245704,"ops/ms",spinning,7,0
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,49.554951,14.625699,"ops/ms",spinning,7,0
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,49.558644,14.620019,"ops/ms",spinning,7,0
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,49.558644,14.620019,"ops/ms",spinning,7,0
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,49.559645,14.620019,"ops/ms",spinning,7,0
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,86.137081,8.705311,"ops/ms",stm,7,0
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,43.613679,5.768974,"ops/ms",stm,7,0
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,42.523402,3.104364,"ops/ms",stm,7,0
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,42.523402,3.104364,"ops/ms",stm,7,0
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,94.844924,8.065980,"ops/ms",stm,7,0
