"Benchmark","Mode","Threads","Samples","Score","Score Error (99.9%)","Unit","Param: engineName","Param: spinningBackOff","Param: work"
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,236.978583,19.930072,"ops/ms",synchron,7,500
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,110.955582,35.715939,"ops/ms",synchron,7,500
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,126.023001,20.327108,"ops/ms",synchron,7,500
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,126.023001,20.327108,"ops/ms",synchron,7,500
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,126.024002,20.327108,"ops/ms",synchron,7,500
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,75.550620,19.139231,"ops/ms",spinning,7,500
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,37.755145,9.548959,"ops/ms",spinning,7,500
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,37.795475,9.590300,"ops/ms",spinning,7,500
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,37.795475,9.590300,"ops/ms",spinning,7,500
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,37.796476,9.590300,"ops/ms",spinning,7,500
"benchmarks.conflict.ExpensiveConflict.g","thrpt",2,50.000000,88.568988,6.510014,"ops/ms",stm,7,500
"benchmarks.conflict.ExpensiveConflict.g:cheap","thrpt",2,50.000000,56.867978,4.233060,"ops/ms",stm,7,500
"benchmarks.conflict.ExpensiveConflict.g:expensive","thrpt",2,50.000000,31.701010,2.913268,"ops/ms",stm,7,500
"benchmarks.conflict.ExpensiveConflict.g:succeeded","thrpt",2,50.000000,31.701010,2.913268,"ops/ms",stm,7,500
"benchmarks.conflict.ExpensiveConflict.g:tried","thrpt",2,50.000000,77.538339,6.458858,"ops/ms",stm,7,500
